ID,correct,post,female,r_white,r_hispa,r_black,r_asian,r_other,cumgpa,parttime,underclassperson,instructor,session,typegpa,year,online,lowgpa,difficulty,gpamiss,q1,q2,q3,q4,age,time
397,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
435,0,0,1,0,0,0,1,0,3.380000114440918,0,1,Acosta,F,high,2019,0,0,h,0,0,0,1,0,20,1
468,0,0,1,0,0,0,1,0,3.559999942779541,0,1,Acosta,F,high,2019,0,0,h,0,0,0,1,0,25,1
475,1,0,0,0,0,0,1,0,2,0,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,19,1
574,1,0,1,0,0,0,1,0,3.299999952316284,0,1,Acosta,F,low,2019,0,1,h,0,0,1,0,0,19,1
708,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
859,1,0,0,0,0,0,1,0,3.430000066757202,0,1,Acosta,F,high,2019,0,0,h,0,0,0,1,0,19,1
951,1,0,0,0,0,0,1,0,4,0,1,Acosta,F,high,2019,0,0,h,0,0,0,0,1,19,1
998,0,0,1,0,0,0,1,0,1.75,0,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,19,1
1095,1,0,0,0,0,0,1,0,2.7799999713897705,1,1,Acosta,F,low,2019,0,1,h,0,1,0,0,0,19,1
1367,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1478,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1504,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,20,1
1515,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1553,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1713,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
1904,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Acosta,F,high,2019,0,0,h,1,0,1,0,0,19,1
182,1,0,0,0,0,0,1,0,3.319999933242798,0,0,Garcia,F,high,2019,0,0,h,0,0,1,0,0,23,1
458,0,0,1,0,0,0,1,0,3.2699999809265137,0,0,Garcia,F,low,2019,0,1,h,0,0,1,0,0,21,1
654,1,0,0,0,0,0,1,0,3.75,0,1,Garcia,F,high,2019,0,0,h,0,0,0,0,1,19,1
665,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
833,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
880,0,0,1,0,0,0,1,0,3.7699999809265137,0,0,Garcia,F,high,2019,0,0,h,0,0,0,0,1,24,1
1083,0,0,0,0,0,0,1,0,2.299999952316284,0,1,Garcia,F,low,2019,0,1,h,0,1,0,0,0,19,1
1115,0,0,1,0,0,0,1,0,4,0,1,Garcia,F,high,2019,0,0,h,0,0,0,0,1,19,1
1169,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,26,1
1355,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1377,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1394,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1408,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1446,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1468,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1471,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1501,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1641,1,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1643,1,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1649,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1698,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1733,0,0,0,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
1776,0,0,1,0,0,0,1,0,3.3153605730711377,0,1,Garcia,F,high,2019,0,0,h,1,0,1,0,0,19,1
12,0,0,0,0,0,0,1,0,2.2799999713897705,1,0,Henry,F,low,2019,0,1,h,0,1,0,0,0,45,1
14,1,0,1,0,0,0,1,0,3.049999952316284,1,0,Henry,F,low,2019,0,1,h,0,1,0,0,0,27,1
