id,newperiod,score,correct,Hispanic,Black,Asian,Other race,Fall,Online,GPA,SAT verbal,SAT math,Female,Age,Parttime,Native Language English?,Sophomore or below,avgcor
373,Pre-Covid,50,0,0,0,1,0,1,0,NA,480,670,1,19,0,0,1,0.5416666666666667
409,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,3.380000114440918,530,540,1,20,0,NA,1,0.45833333333333337
440,Pre-Covid,32.5,0,0,0,1,0,1,0,3.559999942779541,430,570,1,25,0,0,1,0.20833333333333331
447,Pre-Covid,45,1,0,0,1,0,1,0,2,560,730,0,19,0,NA,1,0.75
541,Pre-Covid,55.00000000000001,1,0,0,1,0,1,0,3.299999952316284,570,670,1,19,0,NA,1,0.625
668,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,NA,530,660,1,19,0,0,1,0.5416666666666667
812,Pre-Covid,52.5,1,0,0,1,0,1,0,3.430000066757202,570,620,0,19,0,NA,1,0.875
896,Pre-Covid,35,1,0,0,1,0,1,0,4,570,560,0,19,0,NA,1,0.5833333333333334
941,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,1.75,690,710,1,19,0,NA,1,0.08333333333333336
1037,Pre-Covid,57.49999999999999,1,0,0,1,0,1,0,2.7799999713897705,610,620,0,19,1,NA,1,0.7916666666666666
1306,Pre-Covid,45,1,0,0,1,0,1,0,NA,610,650,1,19,0,1,1,0.75
1405,Pre-Covid,45,0,0,0,1,0,1,0,NA,530,720,0,19,0,1,1,0.25
1430,Pre-Covid,47.5,0,0,0,1,0,1,0,NA,520,620,1,20,0,0,1,0.41666666666666663
1440,Pre-Covid,65,1,0,0,1,0,1,0,NA,570,570,0,19,0,NA,1,0.875
1474,Pre-Covid,60,1,0,0,1,0,1,0,NA,480,650,0,19,0,1,1,0.9583333333333334
1630,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,NA,640,660,0,19,0,NA,1,0.4166666666666667
1813,Pre-Covid,65,0,0,0,1,0,1,0,NA,570,710,0,19,0,NA,1,0.625
173,Pre-Covid,37.5,1,0,0,1,0,1,0,3.319999933242798,200,340,0,23,0,NA,0,0.375
430,Pre-Covid,55.00000000000001,0,0,0,1,0,1,0,3.2699999809265137,460,620,1,21,0,0,0,0.5
619,Pre-Covid,62.5,1,0,0,1,0,1,0,3.75,550,600,0,19,0,NA,1,0.7916666666666667
627,Pre-Covid,30,1,0,0,1,0,1,0,NA,550,680,1,19,0,NA,1,0.5833333333333334
786,Pre-Covid,90,1,0,0,1,0,1,0,NA,480,680,0,19,0,0,1,1
833,Pre-Covid,67.5,0,0,0,1,0,1,0,3.7699999809265137,NA,NA,1,24,0,NA,0,0.6666666666666666
1025,Pre-Covid,47.5,0,0,0,1,0,1,0,2.299999952316284,660,600,0,19,0,NA,1,0.29166666666666663
1057,Pre-Covid,52.5,0,0,0,1,0,1,0,4,590,640,1,19,0,NA,1,0.41666666666666663
1109,Pre-Covid,70,0,0,0,1,0,1,0,NA,NA,NA,1,26,0,0,1,0.45833333333333337
1294,Pre-Covid,42.5,1,0,0,1,0,1,0,NA,550,590,0,19,0,NA,1,0.6666666666666667
1316,Pre-Covid,57.49999999999999,0,0,0,1,0,1,0,NA,550,650,1,19,0,1,1,0.5833333333333333
1331,Pre-Covid,67.5,1,0,0,1,0,1,0,NA,720,800,1,19,0,1,1,0.7916666666666666
1344,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,NA,610,570,1,19,0,1,1,0.125
1376,Pre-Covid,27.500000000000004,0,0,0,1,0,1,0,NA,670,600,1,19,0,0,1,0.08333333333333331
1395,Pre-Covid,60,1,0,0,1,0,1,0,NA,590,610,0,19,0,0,1,0.7916666666666667
1398,Pre-Covid,65,1,0,0,1,0,1,0,NA,610,780,1,19,0,0,1,0.9166666666666666
1427,Pre-Covid,35,0,0,0,1,0,1,0,NA,530,610,1,19,0,1,1,0.08333333333333336
1559,Pre-Covid,57.49999999999999,1,0,0,1,0,1,0,NA,590,740,1,19,0,1,1,0.75
1561,Pre-Covid,37.5,1,0,0,1,0,1,0,NA,530,640,0,19,0,0,1,0.5833333333333333
1567,Pre-Covid,32.5,0,0,0,1,0,1,0,NA,590,680,0,19,0,0,1,0.29166666666666663
1615,Pre-Covid,50,0,0,0,1,0,1,0,NA,500,640,1,19,0,1,1,0.45833333333333337
1650,Pre-Covid,65,0,0,0,1,0,1,0,NA,550,710,0,19,0,0,1,0.7083333333333333
1690,Pre-Covid,40,0,0,0,1,0,1,0,NA,610,660,1,19,0,0,1,0.4583333333333333
12,Pre-Covid,40,0,0,0,1,0,1,0,2.2799999713897705,NA,NA,0,45,1,0,0,0.5
14,Pre-Covid,67.5,1,0,0,1,0,1,0,3.049999952316284,490,500,1,27,1,1,0,1
128,Pre-Covid,42.5,0,0,0,1,0,1,0,3.200000047683716,520,540,1,24,1,1,0,0.5416666666666667
234,Pre-Covid,45,1,0,0,1,0,1,0,3.4800000190734863,NA,NA,0,27,0,0,0,0.6666666666666666
327,Pre-Covid,47.5,0,0,0,1,0,1,0,3.75,NA,NA,0,50,1,NA,1,0.5
377,Pre-Covid,25,0,0,0,1,0,1,0,3.069999933242798,NA,NA,1,26,0,0,0,0.29166666666666663
490,Pre-Covid,40,0,0,0,1,0,1,0,2.950000047683716,NA,NA,0,24,0,0,1,0.25
559,Pre-Covid,70,1,0,0,1,0,1,0,3.8499999046325684,NA,NA,0,34,0,NA,0,0.875
658,Pre-Covid,45,0,0,0,1,0,1,0,3.359999895095825,NA,NA,1,22,0,NA,0,0.41666666666666663
1393,Pre-Covid,30,0,0,0,1,0,1,0,NA,570,560,1,19,0,1,1,0.41666666666666663
